"filename", "language", "PostCSS", "HTML", "Markdown", "JavaScript", "comment", "blank", "total"
"c:\ravelasers-base\CLI.js", "JavaScript", 0, 0, 0, 789, 23, 102, 914
"c:\ravelasers-base\Documentation\CLI-Commands.md", "Markdown", 0, 0, 400, 0, 0, 109, 509
"c:\ravelasers-base\Documentation\create-command-guide.md", "Markdown", 0, 0, 96, 0, 0, 33, 129
"c:\ravelasers-base\Documentation\implementation-summary.md", "Markdown", 0, 0, 129, 0, 0, 32, 161
"c:\ravelasers-base\Documentation\laser-factory-guide.md", "Markdown", 0, 0, 157, 0, 0, 38, 195
"c:\ravelasers-base\Documentation\scene-default-system.md", "Markdown", 0, 0, 99, 0, 0, 28, 127
"c:\ravelasers-base\Documentation\🎯 LASER FACTORY SYSTEM - COMPLETE!.md", "Markdown", 0, 0, 47, 0, 0, 5, 52
"c:\ravelasers-base\LaserFactory.js", "JavaScript", 0, 0, 0, 231, 67, 45, 343
"c:\ravelasers-base\LaserSystem.js", "JavaScript", 0, 0, 0, 208, 24, 54, 286
"c:\ravelasers-base\PresetManager.js", "JavaScript", 0, 0, 0, 209, 75, 55, 339
"c:\ravelasers-base\README.md", "Markdown", 0, 0, 2, 0, 0, 1, 3
"c:\ravelasers-base\SaveLoadManager.js", "JavaScript", 0, 0, 0, 289, 97, 36, 422
"c:\ravelasers-base\banks.js", "JavaScript", 0, 0, 0, 34, 13, 10, 57
"c:\ravelasers-base\behaviors\BehaviorDefault.js", "JavaScript", 0, 0, 0, 145, 8, 35, 188
"c:\ravelasers-base\behaviors\array_1.js", "JavaScript", 0, 0, 0, 77, 15, 11, 103
"c:\ravelasers-base\behaviors\behaviors.js", "JavaScript", 0, 0, 0, 44, 9, 8, 61
"c:\ravelasers-base\behaviors\blue_bounce.js", "JavaScript", 0, 0, 0, 12, 0, 2, 14
"c:\ravelasers-base\behaviors\green_lasers.js", "JavaScript", 0, 0, 0, 11, 0, 2, 13
"c:\ravelasers-base\behaviors\red_default.js", "JavaScript", 0, 0, 0, 11, 0, 2, 13
"c:\ravelasers-base\behaviors\start.js", "JavaScript", 0, 0, 0, 92, 20, 8, 120
"c:\ravelasers-base\behaviors\static_red.js", "JavaScript", 0, 0, 0, 68, 8, 6, 82
"c:\ravelasers-base\behaviors\wireframe.js", "JavaScript", 0, 0, 0, 170, 17, 38, 225
"c:\ravelasers-base\behaviors\yellow_wide.js", "JavaScript", 0, 0, 0, 12, 0, 2, 14
"c:\ravelasers-base\demo.js", "JavaScript", 0, 0, 0, 126, 11, 17, 154
"c:\ravelasers-base\index.html", "HTML", 0, 33, 0, 0, 1, 3, 37
"c:\ravelasers-base\lasersaveinstructions.js", "JavaScript", 0, 0, 0, 5, 5, 4, 14
"c:\ravelasers-base\main.js", "JavaScript", 0, 0, 0, 321, 67, 57, 445
"c:\ravelasers-base\style.css", "PostCSS", 115, 0, 0, 0, 3, 22, 140
"c:\ravelasers-base\test-create-command.html", "HTML", 0, 90, 0, 0, 0, 10, 100
"c:\ravelasers-base\test-face-extraction.html", "HTML", 0, 94, 0, 0, 0, 16, 110
"Total", "-", 115, 217, 930, 2854, 463, 791, 5370
